ACCELEROMETER X (m/sֲ²),ACCELEROMETER Y (m/sֲ²),ACCELEROMETER Z (m/sֲ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.025,1.195,10.511,-0.875,-1.391,0.23,40,2021-01-18 09:20:46:496
-1.025,1.195,10.511,-0.875,-1.391,0.23,48,2021-01-18 09:20:46:504
-1.025,1.195,10.511,-0.875,-1.391,0.23,58,2021-01-18 09:20:46:514
-1.025,1.195,10.511,-0.875,-1.391,0.23,68,2021-01-18 09:20:46:524
-1.025,1.195,10.511,-0.875,-1.391,0.23,78,2021-01-18 09:20:46:534
-1.025,1.195,10.511,-0.875,-1.391,0.23,88,2021-01-18 09:20:46:544
-0.065,2.476,8.612,-0.875,-1.391,0.23,99,2021-01-18 09:20:46:555
-0.065,2.476,8.612,-0.875,-1.391,0.23,108,2021-01-18 09:20:46:564
-0.065,2.476,8.612,0.033,0.027,-0.176,121,2021-01-18 09:20:46:577
-0.065,2.476,8.612,0.033,0.027,-0.176,128,2021-01-18 09:20:46:584
-0.065,2.476,8.612,0.033,0.027,-0.176,138,2021-01-18 09:20:46:594
-0.065,2.476,8.612,0.033,0.027,-0.176,148,2021-01-18 09:20:46:604
0.156,3.395,7.631,0.033,0.027,-0.176,158,2021-01-18 09:20:46:614
0.156,3.395,7.631,0.033,0.027,-0.176,168,2021-01-18 09:20:46:624
0.156,3.395,7.631,0.033,0.027,-0.176,180,2021-01-18 09:20:46:636
0.156,3.395,7.631,0.033,0.027,-0.176,188,2021-01-18 09:20:46:644
0.156,3.395,7.631,0.033,0.027,-0.176,198,2021-01-18 09:20:46:654
0.156,3.395,7.631,0.033,0.027,-0.176,208,2021-01-18 09:20:46:664
1.611,3.479,7.628,0.033,0.027,-0.176,218,2021-01-18 09:20:46:674
1.611,3.479,7.628,0.033,0.027,-0.176,228,2021-01-18 09:20:46:684
1.611,3.479,7.628,0.28,-2.09,0.332,239,2021-01-18 09:20:46:695
1.611,3.479,7.628,0.28,-2.09,0.332,248,2021-01-18 09:20:46:704
1.611,3.479,7.628,0.28,-2.09,0.332,258,2021-01-18 09:20:46:714
1.611,3.479,7.628,0.28,-2.09,0.332,267,2021-01-18 09:20:46:723
2.035,3.311,6.405,0.28,-2.09,0.332,277,2021-01-18 09:20:46:733
2.035,3.311,6.405,0.28,-2.09,0.332,288,2021-01-18 09:20:46:744
2.035,3.311,6.405,0.28,-2.09,0.332,297,2021-01-18 09:20:46:753
2.035,3.311,6.405,0.28,-2.09,0.332,308,2021-01-18 09:20:46:764
2.035,3.311,6.405,0.28,-2.09,0.332,318,2021-01-18 09:20:46:774
2.035,3.311,6.405,0.28,-2.09,0.332,328,2021-01-18 09:20:46:784
2.035,3.311,6.405,0.28,-2.09,0.332,337,2021-01-18 09:20:46:793
2.035,3.311,6.405,0.28,-2.09,0.332,348,2021-01-18 09:20:46:804
2.035,3.311,6.405,0.28,-2.09,0.332,357,2021-01-18 09:20:46:813
3.812,3.977,4.765,1.182,-3.346,0.496,368,2021-01-18 09:20:46:824
3.812,3.977,4.765,1.182,-3.346,0.496,377,2021-01-18 09:20:46:833
3.812,3.977,4.765,1.182,-3.346,0.496,388,2021-01-18 09:20:46:844
3.812,3.977,4.765,1.182,-3.346,0.496,398,2021-01-18 09:20:46:854
3.812,3.977,4.765,1.182,-3.346,0.496,407,2021-01-18 09:20:46:863
3.812,3.977,4.765,1.182,-3.346,0.496,417,2021-01-18 09:20:46:873
3.812,3.977,4.765,1.182,-3.346,0.496,428,2021-01-18 09:20:46:884
5.21,3.457,2.701,1.182,-3.346,0.496,438,2021-01-18 09:20:46:894
5.21,3.457,2.701,1.182,-3.346,0.496,448,2021-01-18 09:20:46:904
5.21,3.457,2.701,1.182,-3.346,0.496,458,2021-01-18 09:20:46:914
5.21,3.457,2.701,1.182,-3.346,0.496,468,2021-01-18 09:20:46:924
5.21,3.457,2.701,1.241,-2.242,-0.339,481,2021-01-18 09:20:46:937
5.21,3.457,2.701,1.241,-2.242,-0.339,488,2021-01-18 09:20:46:944
3.831,1.975,3.625,1.241,-2.242,-0.339,500,2021-01-18 09:20:46:956
3.831,1.975,3.625,1.241,-2.242,-0.339,507,2021-01-18 09:20:46:963
3.831,1.975,3.625,1.241,-2.242,-0.339,518,2021-01-18 09:20:46:974
3.831,1.975,3.625,1.241,-2.242,-0.339,529,2021-01-18 09:20:46:985
3.831,1.975,3.625,1.241,-2.242,-0.339,538,2021-01-18 09:20:46:994
