time,gFx,gFy,gFz,TgF
0.007000,0.0007,0.3821,0.8260,0.910
0.009000,0.0054,0.3889,0.8145,0.903
0.010000,0.0081,0.3951,0.8104,0.902
0.010000,0.0083,0.3990,0.8099,0.903
0.011000,0.0066,0.4031,0.8062,0.901
0.012000,0.0007,0.4065,0.8077,0.904
0.013000,-0.0034,0.4068,0.8079,0.905
0.013000,-0.0078,0.4078,0.8079,0.905
0.014000,-0.0156,0.4082,0.8119,0.909
0.015000,-0.0183,0.4082,0.8155,0.912
0.016000,-0.0193,0.4082,0.8206,0.917
0.016000,-0.0171,0.4095,0.8253,0.921
0.017000,-0.0161,0.4097,0.8272,0.923
0.018000,-0.0149,0.4085,0.8336,0.928
0.018000,-0.0137,0.4082,0.8397,0.934
0.019000,-0.0134,0.4068,0.8441,0.937
0.020000,-0.0120,0.4014,0.8531,0.943
0.021000,-0.0127,0.3946,0.8610,0.947
0.021000,-0.0127,0.3936,0.8654,0.951
0.022000,-0.0107,0.3963,0.8722,0.958
0.022000,-0.0095,0.3882,0.8717,0.954
0.023000,-0.0103,0.3816,0.8720,0.952
0.024000,-0.0142,0.3709,0.8751,0.951
0.027000,-0.0156,0.3640,0.8839,0.956
0.028000,-0.0151,0.3616,0.8888,0.960
0.033000,-0.0161,0.3545,0.8981,0.966
0.034000,-0.0132,0.3499,0.9057,0.971
0.034000,-0.0120,0.3479,0.9096,0.974
0.036000,-0.0068,0.3459,0.9164,0.980
0.037000,-0.0032,0.3442,0.9218,0.984
0.039000,-0.0012,0.3433,0.9245,0.986
0.041000,0.0034,0.3442,0.9318,0.993
0.052000,0.0056,0.3459,0.9382,1.000
0.053000,0.0078,0.3474,0.9401,1.002
0.054000,0.0093,0.3455,0.9421,1.003
0.054000,0.0127,0.3445,0.9472,1.008
0.055000,0.0166,0.3430,0.9509,1.011
0.055000,0.0186,0.3408,0.9523,1.012
0.056000,0.0227,0.3384,0.9560,1.014
0.058000,0.0254,0.3367,0.9604,1.018
0.060000,0.0279,0.3352,0.9641,1.021
0.062000,0.0305,0.3328,0.9670,1.023
0.064000,0.0335,0.3301,0.9697,1.025
0.065000,0.0332,0.3269,0.9738,1.028
0.068000,0.0342,0.3235,0.9821,1.035
0.070000,0.0357,0.3210,0.9858,1.037
0.071000,0.0362,0.3188,0.9897,1.040
0.073000,0.0340,0.3159,0.9970,1.046
0.078000,0.0359,0.3125,1.0063,1.054
0.078000,0.0369,0.3122,1.0107,1.058
0.079000,0.0398,0.3110,1.0171,1.064
0.081000,0.0423,0.3081,1.0256,1.072
0.083000,0.0425,0.3076,1.0295,1.075
0.085000,0.0425,0.3073,1.0356,1.081
0.087000,0.0459,0.3066,1.0356,1.081
0.089000,0.0481,0.3051,1.0337,1.079
0.093000,0.0501,0.3029,1.0300,1.075
0.094000,0.0535,0.3027,1.0269,1.072
0.096000,0.0540,0.3020,1.0237,1.069
0.097000,0.0498,0.2995,1.0188,1.063
0.100000,0.0445,0.2993,1.0141,1.058
0.102000,0.0435,0.3000,1.0102,1.055
0.103000,0.0440,0.3017,1.0002,1.046
0.105000,0.0437,0.3032,0.9909,1.037
0.107000,0.0447,0.3049,0.9868,1.034
0.109000,0.0479,0.3066,0.9809,1.029
0.112000,0.0503,0.3095,0.9775,1.027
0.114000,0.0511,0.3110,0.9763,1.026
0.116000,0.0559,0.3113,0.9711,1.021
0.117000,0.0606,0.3122,0.9687,1.020
0.119000,0.0618,0.3120,0.9677,1.019
0.121000,0.0643,0.3110,0.9655,1.016
0.123000,0.0638,0.3081,0.9621,1.012
0.126000,0.0633,0.3056,0.9614,1.011
0.129000,0.0613,0.3034,0.9523,1.001
0.129000,0.0616,0.3005,0.9514,1.000
0.132000,0.0623,0.2990,0.9499,0.998
0.134000,0.0613,0.2973,0.9460,0.994
0.135000,0.0591,0.2949,0.9435,0.990
0.137000,0.0596,0.2944,0.9411,0.988
0.139000,0.0603,0.2942,0.9367,0.984
0.141000,0.0618,0.2932,0.9362,0.983
0.144000,0.0645,0.2934,0.9350,0.982
0.146000,0.0660,0.2942,0.9338,0.981
0.147000,0.0699,0.2951,0.9306,0.979
0.149000,0.0750,0.2954,0.9279,0.977
0.151000,0.0777,0.2939,0.9269,0.976
0.153000,0.0823,0.2912,0.9228,0.971
0.155000,0.0882,0.2893,0.9230,0.971
0.157000,0.0909,0.2883,0.9235,0.972
0.162000,0.0931,0.2849,0.9233,0.971
0.163000,0.0945,0.2807,0.9252,0.971
0.164000,0.0953,0.2780,0.9257,0.971
0.165000,0.0997,0.2749,0.9257,0.971
0.168000,0.1090,0.2727,0.9255,0.971
