
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0580,-0.1852,0.7073,0.7757,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0590,-0.1852,0.7073,0.7757,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.0710,-0.1586,0.6948,0.5978,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.0910,-0.1776,0.6917,0.6171,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1110,-0.1776,0.6917,0.6171,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1120,-0.1583,0.7007,0.6846,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1430,-0.1510,0.7075,0.7540,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1500,-0.1476,0.7068,0.7430,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1720,-0.1476,0.7068,0.7430,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1730,-0.1666,0.6990,0.7105,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.1910,-0.1842,0.6956,0.6594,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2110,-0.2025,0.6760,0.6294,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2320,-0.2025,0.6760,0.6294,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2330,-0.2135,0.6697,0.6389,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2510,-0.2143,0.6697,0.6909,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2710,-0.2040,0.6746,0.7276,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2920,-0.2040,0.6746,0.7276,0.0000,0.0000,0.0000,32.80683661,34.99650461,0.82667339,
0.2920,-0.2040,0.6746,0.7276,0.0169,-0.1219,0.0269,32.80683661,34.99650461,0.82667339,
0.2930,-0.1762,0.6865,0.7359,0.0169,-0.1219,0.0269,32.80683661,34.99650461,0.82667339,
0.3110,-0.1688,0.6973,0.7102,0.0169,-0.1219,0.0269,32.80683661,34.99650461,0.82667339,
0.3310,-0.1620,0.6951,0.6826,0.0169,-0.1219,0.0269,32.80683661,34.99650461,0.82667339,
0.3520,-0.1620,0.6951,0.6826,0.0376,-0.0511,0.0050,32.80683661,34.99650461,0.82667339,
0.3530,-0.1620,0.6951,0.6826,0.0376,-0.0511,0.0050,32.80683661,34.99650461,0.82667339,
0.3540,-0.1647,0.6997,0.6782,0.0376,-0.0511,0.0050,32.80683661,34.99650461,0.82667339,
0.3710,-0.1542,0.6951,0.6858,0.0376,-0.0511,0.0050,32.80683661,34.99650461,0.82667339,
0.3900,-0.1390,0.7102,0.7002,0.0376,-0.0511,0.0050,32.80683661,34.99650461,0.82667339,
