ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
9.817,0.125,0.122,0,0,0,25,2021-01-15 19:02:08:278
9.817,0.125,0.122,0,0,0,35,2021-01-15 19:02:08:288
9.817,0.125,0.122,0,0,0,46,2021-01-15 19:02:08:299
9.817,0.125,0.122,0,0,0,56,2021-01-15 19:02:08:309
9.817,0.125,0.122,0,0,0,67,2021-01-15 19:02:08:320
9.817,0.125,0.122,0,0,0,76,2021-01-15 19:02:08:329
9.828,0.136,0.148,0,0,0,86,2021-01-15 19:02:08:339
9.828,0.136,0.148,0,0,0,96,2021-01-15 19:02:08:349
9.828,0.136,0.148,0,0,0,106,2021-01-15 19:02:08:359
9.828,0.136,0.148,0,0,0,115,2021-01-15 19:02:08:368
9.828,0.136,0.148,0,0,0,125,2021-01-15 19:02:08:378
9.828,0.136,0.148,0,0,0,136,2021-01-15 19:02:08:389
9.828,0.136,0.148,0,0,0,146,2021-01-15 19:02:08:399
9.805,0.12,0.132,0,0,0,156,2021-01-15 19:02:08:409
9.805,0.12,0.132,0,0,0,165,2021-01-15 19:02:08:418
9.805,0.12,0.132,0,0,0,176,2021-01-15 19:02:08:429
9.805,0.12,0.132,0,0,0,185,2021-01-15 19:02:08:438
9.805,0.12,0.132,0,0,0,195,2021-01-15 19:02:08:448
9.8,0.12,0.127,0,0,0,205,2021-01-15 19:02:08:458
9.8,0.12,0.127,0,0,0,216,2021-01-15 19:02:08:469
9.8,0.12,0.127,0,0,0,226,2021-01-15 19:02:08:479
9.8,0.12,0.127,0,0,0,236,2021-01-15 19:02:08:489
9.8,0.12,0.127,0,0,0,245,2021-01-15 19:02:08:498
9.8,0.12,0.127,0,0,0,255,2021-01-15 19:02:08:508
9.8,0.12,0.127,0,0,0,266,2021-01-15 19:02:08:519
9.836,0.125,0.156,0,0,0,278,2021-01-15 19:02:08:531
9.836,0.125,0.156,0,0,0,286,2021-01-15 19:02:08:539
9.836,0.125,0.156,0,0,0,297,2021-01-15 19:02:08:550
9.836,0.125,0.156,0,0,0,308,2021-01-15 19:02:08:561
9.836,0.125,0.156,0,0,0,316,2021-01-15 19:02:08:569
9.836,0.125,0.156,0,0,0,325,2021-01-15 19:02:08:578
9.795,0.125,0.156,0,0,0,335,2021-01-15 19:02:08:588
9.795,0.125,0.156,0,0,0,346,2021-01-15 19:02:08:599
9.795,0.125,0.156,0,0,0,356,2021-01-15 19:02:08:609
9.795,0.125,0.156,0,0,0,367,2021-01-15 19:02:08:620
9.795,0.125,0.156,0,0,0,376,2021-01-15 19:02:08:629
9.805,0.156,0.127,0.001,0,0,391,2021-01-15 19:02:08:644
9.805,0.156,0.127,0.001,0,0,395,2021-01-15 19:02:08:648
9.805,0.156,0.127,0.001,0,0,406,2021-01-15 19:02:08:659
9.805,0.156,0.127,0.001,0,0,416,2021-01-15 19:02:08:669
9.805,0.156,0.127,0.001,0,0,426,2021-01-15 19:02:08:679
9.805,0.156,0.127,0.001,0,0,436,2021-01-15 19:02:08:689
9.805,0.156,0.127,0.001,0,0,446,2021-01-15 19:02:08:699
9.826,0.136,0.148,0.001,0,0,456,2021-01-15 19:02:08:709
9.826,0.136,0.148,0.001,0,0,465,2021-01-15 19:02:08:718
9.826,0.136,0.148,0.001,0,0,476,2021-01-15 19:02:08:729
9.826,0.136,0.148,0.001,0,0,485,2021-01-15 19:02:08:738
9.826,0.136,0.148,0.001,0,0,496,2021-01-15 19:02:08:749
9.826,0.136,0.148,0.001,0,0,505,2021-01-15 19:02:08:758
9.807,0.122,0.139,0.001,0,0,515,2021-01-15 19:02:08:768
9.807,0.122,0.139,0.001,0,0,527,2021-01-15 19:02:08:780
9.807,0.122,0.139,0.001,0,0,536,2021-01-15 19:02:08:789
9.807,0.122,0.139,0.001,0,0,545,2021-01-15 19:02:08:798
9.807,0.122,0.139,0.001,0,0,556,2021-01-15 19:02:08:809
9.802,0.141,0.129,0.001,0,0,566,2021-01-15 19:02:08:819
9.802,0.141,0.129,0.001,0,0,576,2021-01-15 19:02:08:829
9.802,0.141,0.129,0.001,0,0,586,2021-01-15 19:02:08:839
9.802,0.141,0.129,0.001,0,0,599,2021-01-15 19:02:08:852
9.802,0.141,0.129,0.001,0,0,607,2021-01-15 19:02:08:860
9.802,0.141,0.129,0.001,0,0,615,2021-01-15 19:02:08:868
9.802,0.141,0.129,0.001,0,0,625,2021-01-15 19:02:08:878
9.817,0.134,0.117,0,-0.001,0,636,2021-01-15 19:02:08:889
9.817,0.134,0.117,0,-0.001,0,648,2021-01-15 19:02:08:901
9.817,0.134,0.117,0,-0.001,0,661,2021-01-15 19:02:08:914
9.817,0.134,0.117,0,-0.001,0,665,2021-01-15 19:02:08:918
9.817,0.134,0.117,0,-0.001,0,675,2021-01-15 19:02:08:928
9.809,0.122,0.117,0,-0.001,0,686,2021-01-15 19:02:08:939
9.809,0.122,0.117,0,-0.001,0,696,2021-01-15 19:02:08:949
9.809,0.122,0.117,0,-0.001,0,707,2021-01-15 19:02:08:960
9.809,0.122,0.117,0,-0.001,0,716,2021-01-15 19:02:08:969
9.809,0.122,0.117,0,-0.001,0,726,2021-01-15 19:02:08:979
9.809,0.122,0.117,0,-0.001,0,736,2021-01-15 19:02:08:989
9.824,0.127,0.12,0,0,0,752,2021-01-15 19:02:09:005
9.824,0.127,0.12,0,0,0,756,2021-01-15 19:02:09:009
9.824,0.127,0.12,0,0,0,767,2021-01-15 19:02:09:020
9.824,0.127,0.12,0,0,0,776,2021-01-15 19:02:09:029
9.824,0.127,0.12,0,0,0,786,2021-01-15 19:02:09:039
9.824,0.127,0.12,0,0,0,795,2021-01-15 19:02:09:048
9.807,0.153,0.12,0,0,0,813,2021-01-15 19:02:09:066
9.807,0.153,0.12,0,0,0,816,2021-01-15 19:02:09:069
9.807,0.153,0.12,0,0,0,828,2021-01-15 19:02:09:081
9.807,0.153,0.12,0,0,0,836,2021-01-15 19:02:09:089
9.807,0.153,0.12,0,0,0,846,2021-01-15 19:02:09:099
9.807,0.153,0.12,0,0,0,856,2021-01-15 19:02:09:109
9.807,0.153,0.12,0,0,0,866,2021-01-15 19:02:09:119
9.795,0.139,0.105,0.001,0,0,876,2021-01-15 19:02:09:129
9.795,0.139,0.105,0.001,0,0,888,2021-01-15 19:02:09:141
9.795,0.139,0.105,0.001,0,0,897,2021-01-15 19:02:09:150
9.795,0.139,0.105,0.001,0,0,906,2021-01-15 19:02:09:159
9.795,0.139,0.105,0.001,0,0,920,2021-01-15 19:02:09:173
9.802,0.134,0.113,0.001,0,0,928,2021-01-15 19:02:09:181
9.802,0.134,0.113,0.001,0,0,937,2021-01-15 19:02:09:190
9.802,0.134,0.113,0.001,0,0,945,2021-01-15 19:02:09:198
9.802,0.134,0.113,0.001,0,0,956,2021-01-15 19:02:09:209
9.802,0.134,0.113,0.001,0,0,966,2021-01-15 19:02:09:219
9.802,0.134,0.113,0.001,0,0,975,2021-01-15 19:02:09:228
9.8,0.129,0.127,0,0,0,985,2021-01-15 19:02:09:238
9.8,0.129,0.127,0,0,0,996,2021-01-15 19:02:09:249
9.8,0.129,0.127,0,0,0,1006,2021-01-15 19:02:09:259
9.8,0.129,0.127,0,0,0,1015,2021-01-15 19:02:09:268
9.8,0.129,0.127,0,0,0,1026,2021-01-15 19:02:09:279
9.8,0.129,0.127,0,0,0,1035,2021-01-15 19:02:09:288
9.797,0.122,0.115,0,0,0,1046,2021-01-15 19:02:09:299
9.797,0.122,0.115,0,0,0,1055,2021-01-15 19:02:09:308
9.797,0.122,0.115,0,0,0,1066,2021-01-15 19:02:09:319
9.797,0.122,0.115,0,0,0,1075,2021-01-15 19:02:09:328
9.797,0.122,0.115,0,0,0,1085,2021-01-15 19:02:09:338
9.797,0.122,0.115,0,0,0,1096,2021-01-15 19:02:09:349
9.797,0.127,0.122,0,0,0,1105,2021-01-15 19:02:09:358
9.797,0.127,0.122,0,0,0,1115,2021-01-15 19:02:09:368
9.797,0.127,0.122,0,0,0,1130,2021-01-15 19:02:09:383
9.797,0.127,0.122,0,0,0,1141,2021-01-15 19:02:09:394
9.797,0.127,0.122,0,0,0,1147,2021-01-15 19:02:09:400
