ACCELEROMETER X (m/sֲ²),ACCELEROMETER Y (m/sֲ²),ACCELEROMETER Z (m/sֲ²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.165,9.778,0.268,0,0,0,16,2021-01-15 19:05:54:868
-0.165,9.778,0.268,0,0,0,29,2021-01-15 19:05:54:881
-0.165,9.778,0.268,0,0,0,36,2021-01-15 19:05:54:888
-0.165,9.778,0.268,0,0,0,46,2021-01-15 19:05:54:898
-0.165,9.778,0.268,0,0,0,57,2021-01-15 19:05:54:909
-0.165,9.778,0.268,0,0,0,66,2021-01-15 19:05:54:918
-0.168,9.771,0.261,0,0,0,75,2021-01-15 19:05:54:927
-0.168,9.771,0.261,0,0,0,86,2021-01-15 19:05:54:938
-0.168,9.771,0.261,0,0,0,95,2021-01-15 19:05:54:947
-0.168,9.771,0.261,0,0,0,106,2021-01-15 19:05:54:958
-0.168,9.771,0.261,0,0,0,116,2021-01-15 19:05:54:968
-0.168,9.771,0.261,0,0,0,125,2021-01-15 19:05:54:977
-0.158,9.781,0.266,0,0,0,136,2021-01-15 19:05:54:988
-0.158,9.781,0.266,0,0,0,146,2021-01-15 19:05:54:998
-0.158,9.781,0.266,0,0,0,156,2021-01-15 19:05:55:008
-0.158,9.781,0.266,0,0,0,166,2021-01-15 19:05:55:018
-0.158,9.781,0.266,0,0,0,176,2021-01-15 19:05:55:028
-0.158,9.781,0.266,0,0,0,186,2021-01-15 19:05:55:038
-0.158,9.766,0.266,0,0,0,196,2021-01-15 19:05:55:048
-0.158,9.766,0.266,0,0,0,206,2021-01-15 19:05:55:058
-0.158,9.766,0.266,0,0,0,220,2021-01-15 19:05:55:072
-0.158,9.766,0.266,0,0,0,226,2021-01-15 19:05:55:078
-0.158,9.766,0.266,0,0,0,236,2021-01-15 19:05:55:088
-0.158,9.766,0.266,0,0,0,246,2021-01-15 19:05:55:098
-0.165,9.771,0.263,0,0,0,256,2021-01-15 19:05:55:108
