sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.122;-9.795;-0.127;0.0;0.001;0.0;18;2021-01-16 16:15:23:117
0.125;-9.793;-0.148;0.0;0.001;0.0;28;2021-01-16 16:15:23:127
0.125;-9.793;-0.148;0.0;0.001;0.0;39;2021-01-16 16:15:23:138
0.125;-9.793;-0.148;0.0;0.001;0.0;50;2021-01-16 16:15:23:149
0.125;-9.793;-0.148;0.0;0.001;0.0;59;2021-01-16 16:15:23:158
0.125;-9.793;-0.148;0.0;0.001;0.0;68;2021-01-16 16:15:23:167
0.125;-9.793;-0.148;0.0;0.001;0.0;79;2021-01-16 16:15:23:178
0.125;-9.783;-0.134;0.0;0.0;0.0;92;2021-01-16 16:15:23:191
0.125;-9.783;-0.134;0.0;0.0;0.0;98;2021-01-16 16:15:23:197
0.125;-9.783;-0.134;0.0;0.0;0.0;108;2021-01-16 16:15:23:207
0.125;-9.783;-0.134;0.0;0.0;0.0;119;2021-01-16 16:15:23:218
0.125;-9.783;-0.134;0.0;0.0;0.0;128;2021-01-16 16:15:23:227
0.125;-9.783;-0.134;0.0;0.0;0.0;138;2021-01-16 16:15:23:237
0.105;-9.788;-0.122;0.0;0.0;0.0;148;2021-01-16 16:15:23:247
0.105;-9.788;-0.122;0.0;0.0;0.0;158;2021-01-16 16:15:23:257
0.105;-9.788;-0.122;0.0;0.0;0.0;169;2021-01-16 16:15:23:268
0.105;-9.788;-0.122;0.0;0.0;0.0;179;2021-01-16 16:15:23:278
0.105;-9.788;-0.122;0.0;0.0;0.0;188;2021-01-16 16:15:23:287
0.105;-9.788;-0.122;0.0;0.0;0.0;198;2021-01-16 16:15:23:297
0.12;-9.778;-0.134;0.001;0.0;0.0;214;2021-01-16 16:15:23:313
0.12;-9.778;-0.134;0.001;0.0;0.0;218;2021-01-16 16:15:23:317
0.12;-9.778;-0.134;0.001;0.0;0.0;229;2021-01-16 16:15:23:328
0.12;-9.778;-0.134;0.001;0.0;0.0;238;2021-01-16 16:15:23:337
0.12;-9.778;-0.134;0.001;0.0;0.0;249;2021-01-16 16:15:23:348
0.12;-9.778;-0.134;0.001;0.0;0.0;258;2021-01-16 16:15:23:357
0.117;-9.788;-0.127;0.001;0.0;0.0;273;2021-01-16 16:15:23:372
0.117;-9.788;-0.127;0.001;0.0;0.0;278;2021-01-16 16:15:23:377
0.117;-9.788;-0.127;0.001;0.0;0.0;288;2021-01-16 16:15:23:387
0.117;-9.788;-0.127;0.001;0.0;0.0;298;2021-01-16 16:15:23:397
0.117;-9.788;-0.127;0.001;0.0;0.0;311;2021-01-16 16:15:23:410
0.117;-9.788;-0.127;0.001;0.0;0.0;318;2021-01-16 16:15:23:417
0.117;-9.788;-0.127;0.0;0.0;0.0;328;2021-01-16 16:15:23:427
0.117;-9.788;-0.127;0.0;0.0;0.0;338;2021-01-16 16:15:23:437
0.117;-9.788;-0.127;0.0;0.0;0.0;348;2021-01-16 16:15:23:447
0.117;-9.788;-0.127;0.0;0.0;0.0;358;2021-01-16 16:15:23:457
0.117;-9.788;-0.127;0.0;0.0;0.0;368;2021-01-16 16:15:23:467
0.117;-9.788;-0.127;0.0;0.0;0.0;378;2021-01-16 16:15:23:477
0.129;-9.773;-0.144;0.0;0.0;0.0;388;2021-01-16 16:15:23:487
0.129;-9.773;-0.144;0.0;0.0;0.0;398;2021-01-16 16:15:23:497
0.129;-9.773;-0.144;0.0;0.0;0.0;420;2021-01-16 16:15:23:519
0.129;-9.773;-0.144;0.0;0.0;0.0;420;2021-01-16 16:15:23:519
0.129;-9.773;-0.144;0.0;0.0;0.0;433;2021-01-16 16:15:23:532
0.129;-9.773;-0.144;0.0;0.0;0.0;438;2021-01-16 16:15:23:537
0.122;-9.781;-0.129;0.0;0.0;0.0;448;2021-01-16 16:15:23:547
0.122;-9.781;-0.129;0.0;0.0;0.0;458;2021-01-16 16:15:23:557
0.122;-9.781;-0.129;0.0;0.0;0.0;468;2021-01-16 16:15:23:567
0.122;-9.781;-0.129;0.0;0.0;0.0;478;2021-01-16 16:15:23:577
0.122;-9.781;-0.129;0.0;0.0;0.0;489;2021-01-16 16:15:23:588
0.122;-9.781;-0.129;0.0;0.0;0.0;501;2021-01-16 16:15:23:600
0.125;-9.795;-0.144;0.0;0.0;0.0;509;2021-01-16 16:15:23:608
0.125;-9.795;-0.144;0.0;0.0;0.0;518;2021-01-16 16:15:23:617
0.125;-9.795;-0.144;0.0;0.0;0.0;528;2021-01-16 16:15:23:627
0.125;-9.795;-0.144;0.0;0.0;0.0;538;2021-01-16 16:15:23:637
0.125;-9.795;-0.144;0.0;0.0;0.0;548;2021-01-16 16:15:23:647
0.125;-9.795;-0.144;0.0;0.0;0.0;559;2021-01-16 16:15:23:658
0.129;-9.79;-0.148;0.0;0.0;0.0;568;2021-01-16 16:15:23:667
0.129;-9.79;-0.148;0.0;0.0;0.0;578;2021-01-16 16:15:23:677
0.129;-9.79;-0.148;0.0;0.0;0.0;588;2021-01-16 16:15:23:687
0.129;-9.79;-0.148;0.0;0.0;0.0;598;2021-01-16 16:15:23:697
0.129;-9.79;-0.148;0.0;0.0;0.0;609;2021-01-16 16:15:23:708
0.129;-9.79;-0.148;0.0;0.0;0.0;619;2021-01-16 16:15:23:718
0.136;-9.795;-0.129;0.0;0.0;0.0;628;2021-01-16 16:15:23:727
0.136;-9.795;-0.129;0.0;0.0;0.0;643;2021-01-16 16:15:23:742
0.136;-9.795;-0.129;0.0;0.0;0.0;648;2021-01-16 16:15:23:747
0.136;-9.795;-0.129;0.0;0.0;0.0;658;2021-01-16 16:15:23:757
0.136;-9.795;-0.129;0.0;0.0;0.0;668;2021-01-16 16:15:23:767
0.136;-9.795;-0.129;0.0;0.0;0.0;679;2021-01-16 16:15:23:778
0.125;-9.783;-0.139;0.0;0.0;0.0;689;2021-01-16 16:15:23:788
0.125;-9.783;-0.139;0.0;0.0;0.0;698;2021-01-16 16:15:23:797
0.125;-9.783;-0.139;0.0;0.0;0.0;711;2021-01-16 16:15:23:810
0.125;-9.783;-0.139;0.0;0.0;0.0;719;2021-01-16 16:15:23:818
0.125;-9.783;-0.139;0.0;0.0;0.0;728;2021-01-16 16:15:23:827
0.125;-9.783;-0.139;0.0;0.0;0.0;738;2021-01-16 16:15:23:837
0.134;-9.793;-0.146;0.0;0.0;0.0;749;2021-01-16 16:15:23:848
0.134;-9.793;-0.146;0.0;0.0;0.0;758;2021-01-16 16:15:23:857
0.134;-9.793;-0.146;0.0;0.0;0.0;768;2021-01-16 16:15:23:867
0.134;-9.793;-0.146;0.0;0.0;0.0;778;2021-01-16 16:15:23:877
0.134;-9.793;-0.146;0.0;0.0;0.0;788;2021-01-16 16:15:23:887
0.134;-9.793;-0.146;0.0;0.0;0.0;800;2021-01-16 16:15:23:899
0.11;-9.8;-0.134;0.0;0.0;0.0;808;2021-01-16 16:15:23:907
0.11;-9.8;-0.134;0.0;0.0;0.0;818;2021-01-16 16:15:23:917
0.11;-9.8;-0.134;0.0;0.0;0.0;829;2021-01-16 16:15:23:928
0.11;-9.8;-0.134;0.0;0.0;0.0;839;2021-01-16 16:15:23:938
0.11;-9.8;-0.134;0.0;0.0;0.0;848;2021-01-16 16:15:23:947
0.11;-9.8;-0.134;0.0;0.0;0.0;859;2021-01-16 16:15:23:958
0.132;-9.788;-0.125;0.0;0.0;0.0;868;2021-01-16 16:15:23:967
0.132;-9.788;-0.125;0.0;0.0;0.0;878;2021-01-16 16:15:23:977
0.132;-9.788;-0.125;0.0;0.0;0.0;889;2021-01-16 16:15:23:988
0.132;-9.788;-0.125;0.0;0.0;0.0;901;2021-01-16 16:15:24:000
0.132;-9.788;-0.125;0.0;0.0;0.0;908;2021-01-16 16:15:24:007
0.132;-9.788;-0.125;0.0;0.0;0.0;919;2021-01-16 16:15:24:018
0.125;-9.797;-0.125;0.001;0.0;0.0;928;2021-01-16 16:15:24:027
0.125;-9.797;-0.125;0.001;0.0;0.0;938;2021-01-16 16:15:24:037
0.125;-9.797;-0.125;0.001;0.0;0.0;952;2021-01-16 16:15:24:051
0.125;-9.797;-0.125;0.001;0.0;0.0;958;2021-01-16 16:15:24:057
0.125;-9.797;-0.125;0.001;0.0;0.0;968;2021-01-16 16:15:24:067
0.125;-9.797;-0.125;0.001;0.0;0.0;983;2021-01-16 16:15:24:082
0.129;-9.793;-0.141;0.001;0.0;0.0;992;2021-01-16 16:15:24:091
0.129;-9.793;-0.141;0.001;0.0;0.0;998;2021-01-16 16:15:24:097
0.129;-9.793;-0.141;0.001;0.0;0.0;1008;2021-01-16 16:15:24:107
0.129;-9.793;-0.141;0.001;0.0;0.0;1019;2021-01-16 16:15:24:118
0.129;-9.793;-0.141;0.001;0.0;0.0;1028;2021-01-16 16:15:24:127
0.129;-9.793;-0.141;0.001;0.0;0.0;1039;2021-01-16 16:15:24:138
0.125;-9.776;-0.136;0.0;0.0;0.0;1048;2021-01-16 16:15:24:147
0.125;-9.776;-0.136;0.0;0.0;0.0;1058;2021-01-16 16:15:24:157
0.125;-9.776;-0.136;0.0;0.0;0.0;1069;2021-01-16 16:15:24:168
0.125;-9.776;-0.136;0.0;0.0;0.0;1079;2021-01-16 16:15:24:178
0.125;-9.776;-0.136;0.0;0.0;0.0;1088;2021-01-16 16:15:24:187
0.125;-9.776;-0.136;0.0;0.0;0.0;1098;2021-01-16 16:15:24:197
0.115;-9.797;-0.127;0.0;0.0;0.0;1108;2021-01-16 16:15:24:207
0.115;-9.797;-0.127;0.0;0.0;0.0;1118;2021-01-16 16:15:24:217
0.115;-9.797;-0.127;0.0;0.0;0.0;1128;2021-01-16 16:15:24:227
0.115;-9.797;-0.127;0.0;0.0;0.0;1138;2021-01-16 16:15:24:237
0.115;-9.797;-0.127;0.0;0.0;0.0;1149;2021-01-16 16:15:24:248
0.115;-9.797;-0.127;0.0;0.0;0.0;1158;2021-01-16 16:15:24:257
0.127;-9.776;-0.122;0.0;0.0;0.0;1168;2021-01-16 16:15:24:267
0.127;-9.776;-0.122;0.0;0.0;0.0;1179;2021-01-16 16:15:24:278
0.127;-9.776;-0.122;0.0;0.0;0.0;1189;2021-01-16 16:15:24:288
0.127;-9.776;-0.122;0.0;0.0;0.0;1198;2021-01-16 16:15:24:297
0.127;-9.776;-0.122;0.0;0.0;0.0;1209;2021-01-16 16:15:24:308
0.127;-9.776;-0.122;0.0;0.0;0.0;1218;2021-01-16 16:15:24:317
0.12;-9.797;-0.115;0.0;0.0;0.0;1229;2021-01-16 16:15:24:328
0.12;-9.797;-0.115;0.0;0.0;0.0;1238;2021-01-16 16:15:24:337
0.12;-9.797;-0.115;0.0;0.0;0.0;1249;2021-01-16 16:15:24:348
0.12;-9.797;-0.115;0.0;0.0;0.0;1264;2021-01-16 16:15:24:363
0.12;-9.797;-0.115;0.0;0.0;0.0;1270;2021-01-16 16:15:24:369
0.12;-9.797;-0.115;0.0;0.0;0.0;1278;2021-01-16 16:15:24:377
0.127;-9.783;-0.132;0.0;-0.001;0.0;1292;2021-01-16 16:15:24:391
0.127;-9.783;-0.132;0.0;-0.001;0.0;1299;2021-01-16 16:15:24:398
0.127;-9.783;-0.132;0.0;-0.001;0.0;1309;2021-01-16 16:15:24:408
0.127;-9.783;-0.132;0.0;-0.001;0.0;1319;2021-01-16 16:15:24:418
0.127;-9.783;-0.132;0.0;-0.001;0.0;1329;2021-01-16 16:15:24:428
0.127;-9.783;-0.132;0.0;-0.001;0.0;1338;2021-01-16 16:15:24:437
0.096;-9.788;-0.146;0.0;-0.001;0.0;1348;2021-01-16 16:15:24:447
0.096;-9.788;-0.146;0.0;-0.001;0.0;1358;2021-01-16 16:15:24:457
0.096;-9.788;-0.146;0.0;-0.001;0.0;1370;2021-01-16 16:15:24:469
0.096;-9.788;-0.146;0.0;-0.001;0.0;1378;2021-01-16 16:15:24:477
0.096;-9.788;-0.146;0.0;-0.001;0.0;1388;2021-01-16 16:15:24:487
0.096;-9.788;-0.146;0.0;-0.001;0.0;1400;2021-01-16 16:15:24:499
0.129;-9.797;-0.136;0.0;0.0;0.0;1409;2021-01-16 16:15:24:508
0.129;-9.797;-0.136;0.0;0.0;0.0;1418;2021-01-16 16:15:24:517
0.129;-9.797;-0.136;0.0;0.0;0.0;1431;2021-01-16 16:15:24:530
0.129;-9.797;-0.136;0.0;0.0;0.0;1438;2021-01-16 16:15:24:537
0.129;-9.797;-0.136;0.0;0.0;0.0;1448;2021-01-16 16:15:24:547
0.129;-9.797;-0.136;0.0;0.0;0.0;1458;2021-01-16 16:15:24:557
0.122;-9.797;-0.132;0.0;0.0;0.0;1470;2021-01-16 16:15:24:569
0.122;-9.797;-0.132;0.0;0.0;0.0;1479;2021-01-16 16:15:24:578
0.122;-9.797;-0.132;0.0;0.0;0.0;1490;2021-01-16 16:15:24:589
0.122;-9.797;-0.132;0.0;0.0;0.0;1503;2021-01-16 16:15:24:602
0.122;-9.797;-0.132;0.0;0.0;0.0;1508;2021-01-16 16:15:24:607
0.122;-9.797;-0.132;0.0;0.0;0.0;1518;2021-01-16 16:15:24:617
0.134;-9.797;-0.146;0.0;0.0;0.0;1528;2021-01-16 16:15:24:627
0.134;-9.797;-0.146;0.0;0.0;0.0;1539;2021-01-16 16:15:24:638
0.134;-9.797;-0.146;0.0;0.0;0.0;1548;2021-01-16 16:15:24:647
0.134;-9.797;-0.146;0.0;0.0;0.0;1558;2021-01-16 16:15:24:657
0.134;-9.797;-0.146;0.0;0.0;0.0;1568;2021-01-16 16:15:24:667
0.134;-9.797;-0.146;0.0;0.0;0.0;1581;2021-01-16 16:15:24:680
0.125;-9.812;-0.144;0.0;0.0;0.0;1589;2021-01-16 16:15:24:688
0.125;-9.812;-0.144;0.0;0.0;0.0;1598;2021-01-16 16:15:24:697
0.125;-9.812;-0.144;0.0;0.0;0.0;1608;2021-01-16 16:15:24:707
0.125;-9.812;-0.144;0.0;0.0;0.0;1619;2021-01-16 16:15:24:718
0.125;-9.812;-0.144;0.0;0.0;0.0;1628;2021-01-16 16:15:24:727
0.125;-9.812;-0.144;0.0;0.0;0.0;1638;2021-01-16 16:15:24:737
0.117;-9.778;-0.134;0.0;0.0;0.0;1653;2021-01-16 16:15:24:752
0.117;-9.778;-0.134;0.0;0.0;0.0;1658;2021-01-16 16:15:24:757
0.117;-9.778;-0.134;0.0;0.0;0.0;1668;2021-01-16 16:15:24:767
0.117;-9.778;-0.134;0.0;0.0;0.0;1678;2021-01-16 16:15:24:777
0.117;-9.778;-0.134;0.0;0.0;0.0;1688;2021-01-16 16:15:24:787
0.117;-9.778;-0.134;0.0;0.0;0.0;1698;2021-01-16 16:15:24:797
0.125;-9.79;-0.139;0.0;0.0;0.0;1709;2021-01-16 16:15:24:808
0.125;-9.79;-0.139;0.0;0.0;0.0;1718;2021-01-16 16:15:24:817
0.125;-9.79;-0.139;0.0;0.0;0.0;1730;2021-01-16 16:15:24:829
0.125;-9.79;-0.139;0.0;0.0;0.0;1738;2021-01-16 16:15:24:837
0.125;-9.79;-0.139;0.0;0.0;0.0;1748;2021-01-16 16:15:24:847
0.125;-9.79;-0.139;0.0;0.0;0.0;1758;2021-01-16 16:15:24:857
0.134;-9.79;-0.141;0.0;0.0;0.0;1774;2021-01-16 16:15:24:873
0.134;-9.79;-0.141;0.0;0.0;0.0;1780;2021-01-16 16:15:24:879
0.134;-9.79;-0.141;0.0;0.0;0.0;1789;2021-01-16 16:15:24:888
0.134;-9.79;-0.141;0.0;0.0;0.0;1798;2021-01-16 16:15:24:897
0.134;-9.79;-0.141;0.0;0.0;0.0;1808;2021-01-16 16:15:24:907
