ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.002,-0.311,9.711,0,-0.001,0,48,2021-01-15 18:59:28:299
-0.002,-0.311,9.711,0,-0.001,0,57,2021-01-15 18:59:28:308
-0.002,-0.311,9.711,0,-0.001,0,67,2021-01-15 18:59:28:318
-0.002,-0.311,9.711,0,-0.001,0,77,2021-01-15 18:59:28:328
-0.002,-0.311,9.711,0,-0.001,0,87,2021-01-15 18:59:28:338
-0.002,-0.311,9.711,0,-0.001,0,97,2021-01-15 18:59:28:348
-0.017,-0.306,9.735,0,-0.001,0,107,2021-01-15 18:59:28:358
-0.017,-0.306,9.735,0,-0.001,0,117,2021-01-15 18:59:28:368
-0.017,-0.306,9.735,0,-0.001,0,128,2021-01-15 18:59:28:379
-0.017,-0.306,9.735,0,-0.001,0,137,2021-01-15 18:59:28:388
-0.017,-0.306,9.735,0,-0.001,0.001,147,2021-01-15 18:59:28:398
-0.017,-0.306,9.735,0,-0.001,0.001,157,2021-01-15 18:59:28:408
-0.017,-0.297,9.716,0,-0.001,0.001,167,2021-01-15 18:59:28:418
-0.017,-0.297,9.716,0,-0.001,0.001,177,2021-01-15 18:59:28:428
-0.017,-0.297,9.716,0,-0.001,0.001,187,2021-01-15 18:59:28:438
-0.017,-0.297,9.716,0,-0.001,0.001,198,2021-01-15 18:59:28:449
-0.017,-0.297,9.716,0,-0.001,0.001,207,2021-01-15 18:59:28:458
-0.017,-0.297,9.716,0,-0.001,0.001,217,2021-01-15 18:59:28:468
-0.002,-0.29,9.73,0,-0.001,0.001,227,2021-01-15 18:59:28:478
-0.002,-0.29,9.73,0,-0.001,0.001,237,2021-01-15 18:59:28:488
-0.002,-0.29,9.73,0,-0.001,0.001,247,2021-01-15 18:59:28:498
-0.002,-0.29,9.73,0,-0.001,0.001,257,2021-01-15 18:59:28:508
-0.002,-0.29,9.73,0,-0.001,0,267,2021-01-15 18:59:28:518
-0.002,-0.29,9.73,0,-0.001,0,277,2021-01-15 18:59:28:528
-0.002,-0.318,9.711,0,-0.001,0,287,2021-01-15 18:59:28:538
-0.002,-0.318,9.711,0,-0.001,0,299,2021-01-15 18:59:28:550
-0.002,-0.318,9.711,0,-0.001,0,308,2021-01-15 18:59:28:559
-0.002,-0.318,9.711,0,-0.001,0,317,2021-01-15 18:59:28:568
-0.002,-0.318,9.711,0,-0.001,0,327,2021-01-15 18:59:28:578
-0.002,-0.318,9.711,0,-0.001,0,337,2021-01-15 18:59:28:588
-0.017,-0.318,9.716,0,-0.001,0,347,2021-01-15 18:59:28:598
